time_ms,LGd,VISp,LP,VISpm,VISam
5.0,0.0,0.05566255185654656,0.08546787300962055,0.0,0.25725027370437425
15.0,0.10334491760644937,0.0,0.26891664229661316,0.03193364727809955,0.14704318633242686
25.0,0.23676604658634615,0.13062975846722846,0.0,0.33158620875470435,0.19119914644334424
35.0,2.2539094516751206,0.5840750510500929,0.16890965057079788,0.026963912595820094,0.0
45.0,3.361013812053266,1.4044144815488528,0.6367810404449616,0.2931767899680633,0.12791697067588848
55.0,2.7510621306775533,2.8600463331316948,1.2395113132873772,0.47595124254857835,1.2216870342118722
65.0,2.16196973271604,2.983516232631454,1.5364454233722076,2.2533176638547356,1.8703010306965457
75.0,1.9843553522049309,2.987100887907539,1.1453387016445276,2.4211754451748595,2.429236489603532
85.0,1.5474692829029255,1.9615522757556074,0.9815940086297408,2.9943056650101356,2.3247712661282818
95.0,1.4018819492325054,2.1093896608038416,1.1580117633904998,3.1343568813431792,2.455667160467146
105.0,1.3239304862191679,1.6904610123494161,0.9524395867290187,2.618784487794273,1.8785755266017117
115.0,1.09050592302252,1.4145548383703241,1.043329340391558,2.5968279044748277,1.9145649894527588
125.0,1.2104233657747923,1.4817392441828,0.8707757537837115,1.8704661404973595,1.3169953933080025
135.0,1.5548277851299517,1.4737418207739506,1.0358772441198534,1.8349211427535161,1.1265420459941713
145.0,1.255994388785557,1.2869941476626283,0.991073026590481,1.2255280114985325,1.4198473997260375
