acronym,n_pids,n_responsive_units,latency_ms,q25_ms,q75_ms,passes_coverage,anatomical_group
RH,1,3,55.0,55.0,55.0,False,Thalamus
SGN,7,44,55.0,35.0,57.5,True,Thalamus
PT,1,2,55.00000000000001,55.00000000000001,55.00000000000001,False,Thalamus
MG,16,117,57.5,45.0,71.25,True,Thalamus
VPLpc,8,38,57.5,46.25,110.0,True,Thalamus
LGv,7,23,60.0,37.5,90.0,True,Thalamus
PoT,16,93,60.0,42.5,75.00000000000001,True,Thalamus
PF,7,101,65.0,60.0,84.99999999999999,True,Thalamus
RE,3,3,65.0,65.0,85.0,False,Thalamus
LGd,21,135,70.0,65.0,105.00000000000001,True,Thalamus
VPMpc,9,27,70.0,40.0,90.0,True,Thalamus
PCN,6,39,75.0,61.25,100.0,True,Thalamus
LH,9,36,75.00000000000001,59.99999999999999,125.0,True,Thalamus
LP,67,565,75.00000000000001,62.5,105.00000000000001,True,Thalamus
PO,46,689,75.00000000000001,51.25,85.0,True,Thalamus
RT,19,189,75.00000000000001,65.0,112.5,True,Thalamus
SPA,3,12,75.00000000000001,70.0,77.5,True,Thalamus
PVT,7,36,80.0,75.0,100.0,True,Thalamus
POL,14,71,84.99999999999999,56.25,98.75,True,Thalamus
VPM,37,440,84.99999999999999,65.0,105.00000000000001,True,Thalamus
Eth,14,138,85.0,65.0,103.75000000000001,True,Thalamus
MD,17,281,90.0,80.0,95.0,True,Thalamus
CL,4,16,90.00000000000001,70.00000000000001,110.00000000000001,True,Thalamus
AV,7,63,95.0,80.0,100.0,True,Thalamus
IAM,1,5,95.0,95.0,95.0,False,Thalamus
PIL,3,6,95.0,62.5,105.0,True,Thalamus
PP,3,9,100.0,100.0,112.5,True,Thalamus
VAL,10,103,100.0,70.0,125.0,True,Thalamus
PR,3,8,105.0,85.0,115.0,True,Thalamus
CM,6,36,105.00000000000001,86.25,112.5,True,Thalamus
IGL,1,3,105.00000000000001,105.00000000000001,105.00000000000001,False,Thalamus
IntG,1,5,105.00000000000001,105.00000000000001,105.00000000000001,False,Thalamus
LD,18,154,105.00000000000001,87.49999999999999,113.74999999999999,True,Thalamus
MH,7,18,105.00000000000001,77.5,120.0,True,Thalamus
SMT,5,67,105.00000000000001,105.00000000000001,114.99999999999999,True,Thalamus
SPF,12,30,105.00000000000001,84.99999999999999,114.99999999999999,True,Thalamus
VM,13,55,105.00000000000001,75.00000000000001,114.99999999999999,True,Thalamus
AM,4,28,110.0,103.75000000000001,117.49999999999999,True,Thalamus
IAD,2,4,110.0,97.49999999999999,122.5,False,Thalamus
VPL,21,185,114.99999999999999,90.0,114.99999999999999,True,Thalamus
AD,3,4,130.0,122.5,132.5,False,Thalamus
IMD,1,1,135.0,135.0,135.0,False,Thalamus
MPN,1,2,25.0,25.0,25.0,False,Hypothalamus
ADP,1,2,44.99999999999999,44.99999999999999,44.99999999999999,False,Hypothalamus
PVH,1,4,60.0,60.0,60.0,False,Hypothalamus
MM,1,1,65.0,65.0,65.0,False,Hypothalamus
PVHd,1,2,70.0,70.0,70.0,False,Hypothalamus
PS,2,8,75.0,75.0,75.0,True,Hypothalamus
LM,1,6,80.0,80.0,80.0,False,Hypothalamus
SUM,2,6,80.0,72.5,87.5,True,Hypothalamus
STN,3,3,84.99999999999999,84.99999999999999,95.0,False,Hypothalamus
LHA,13,68,90.0,75.00000000000001,105.00000000000001,True,Hypothalamus
ZI,39,199,95.0,55.0,114.99999999999999,True,Hypothalamus
PH,6,7,100.0,57.5,105.00000000000001,True,Hypothalamus
TU,1,2,100.0,100.0,100.0,False,Hypothalamus
PeF,2,12,105.0,100.0,109.99999999999999,True,Hypothalamus
DMH,1,5,105.00000000000001,105.00000000000001,105.00000000000001,False,Hypothalamus
AHN,2,4,110.0,97.49999999999999,122.5,False,Hypothalamus
MPO,3,12,114.99999999999999,92.5,120.0,True,Hypothalamus
PMd,1,1,114.99999999999999,114.99999999999999,114.99999999999999,False,Hypothalamus
PSTN,1,2,120.0,120.0,120.0,False,Hypothalamus
AVP,2,3,122.5,121.25,123.75,False,Hypothalamus
LPO,3,42,125.0,120.0,130.0,True,Hypothalamus
IC,21,201,40.0,25.0,95.0,True,Midbrain
CUN,10,43,50.0,37.5,90.0,True,Midbrain
SAG,4,23,50.0,41.25,70.0,True,Midbrain
NB,3,13,55.0,50.0,55.0,True,Midbrain
NOT,18,34,70.0,65.0,107.49999999999999,True,Midbrain
PPT,11,35,70.0,57.5,105.00000000000001,True,Midbrain
DT,2,3,72.5,61.25,83.75,False,Midbrain
SCs,17,69,75.00000000000001,65.0,84.99999999999999,True,Midbrain
III,3,4,84.99999999999999,80.0,110.0,False,Midbrain
OP,5,15,84.99999999999999,80.0,105.00000000000001,True,Midbrain
VTA,5,8,84.99999999999999,65.0,105.00000000000001,True,Midbrain
SNc,5,24,90.00000000000001,70.0,95.0,True,Midbrain
APN,58,681,95.0,76.25,110.0,True,Midbrain
MRN,121,1211,95.0,75.00000000000001,114.99999999999999,True,Midbrain
PAG,43,319,95.0,62.5,114.99999999999999,True,Midbrain
SCm,65,715,95.0,75.0,110.0,True,Midbrain
DR,2,19,100.0,82.5,117.5,True,Midbrain
NPC,10,45,100.0,91.25,113.74999999999999,True,Midbrain
RN,20,151,100.0,72.50000000000001,114.99999999999999,True,Midbrain
PPN,18,151,102.5,65.0,105.00000000000001,True,Midbrain
RPF,4,19,105.0,86.25000000000001,121.25,True,Midbrain
SNr,15,83,105.0,75.00000000000001,114.99999999999999,True,Midbrain
CLI,6,54,105.00000000000001,60.0,123.75,True,Midbrain
RR,5,25,110.0,90.00000000000001,110.0,True,Midbrain
VTN,2,3,115.0,110.0,120.0,False,Midbrain
IPN,1,1,125.0,125.0,125.0,False,Midbrain
PBG,2,5,125.0,119.99999999999999,130.0,True,Midbrain
RL,1,9,125.0,125.0,125.0,False,Midbrain
AT,1,4,130.0,130.0,130.0,False,Midbrain
IF,1,4,135.0,135.0,135.0,False,Midbrain
Pa4,1,1,135.0,135.0,135.0,False,Midbrain
DTN,1,6,20.0,20.0,20.0,False,Hindbrain
PDTg,1,4,20.0,20.0,20.0,False,Hindbrain
PRNc,10,157,55.0,42.5,79.99999999999999,True,Hindbrain
NLL,7,43,59.99999999999999,55.0,102.5,True,Hindbrain
AP,1,1,65.0,65.0,65.0,False,Hindbrain
