uuids,acronym,pid,q_value,effect_hz,latency_ms,eid,subject,lab
0274edc6-9a94-4594-bd21-13db529cea45,IRN,5d570bf6-a4c6-4bf1-a14b-2c878c84ef0e,2.2282493789903587e-172,5.682461103253184,84.99999999999999,fece187f-b47f-4870-a1d6-619afe942a7d,CSH_ZAD_029,zadorlab
d5e2d4ab-fd85-4a09-9c32-e541d9704d5b,MOs,1ab86a7f-578b-4a46-9c9c-df3be97abcca,1.2234058377638288e-171,42.447154471544714,95.0,0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,steinmetzlab
d8e97b9f-4240-4e0f-936d-d46bfbfec265,MOs,1ab86a7f-578b-4a46-9c9c-df3be97abcca,2.7262113264541274e-171,33.81300813008131,84.99999999999999,0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,NR_0027,steinmetzlab
b1dd0c57-b068-4441-917b-b39849190706,MRN,a6bcfe32-69ce-414f-80bc-495d1b4906af,6.093209655706181e-171,49.88636363636364,55.0,68775ca0-b056-48d5-b6ae-a4c2a76ae48f,PL017,hausserlab
de342795-08c9-4646-90f6-ff6dd2e5acd4,RN,3c283107-7012-48fc-a6c2-ed096b23974f,1.8517762716430967e-170,27.696025778732547,35.0,1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,KS096,cortexlab
59855898-b2a5-4f3f-a288-4acf736e8578,VII,5d570bf6-a4c6-4bf1-a14b-2c878c84ef0e,3.601315128918093e-170,17.48585572842999,55.0,fece187f-b47f-4870-a1d6-619afe942a7d,CSH_ZAD_029,zadorlab
b2750ab0-da13-4023-a3c4-ca5bb555c4ae,CLI,8bf0f1a4-0d8c-4df3-a99e-f7c81c809652,1.1124835187465178e-169,33.51351351351351,95.0,993c7024-0abc-4028-ad30-d397ad55b084,CSH_ZAD_029,zadorlab
f5f3e362-14f9-4773-86b1-e3a7896616c4,SCm,a6bcfe32-69ce-414f-80bc-495d1b4906af,4.547730357091473e-169,29.7027972027972,95.0,68775ca0-b056-48d5-b6ae-a4c2a76ae48f,PL017,hausserlab
e773f51b-00a7-4a42-a080-98f0b2cd05ca,MRN,43436b4b-0431-407f-b83d-d657ec22b5c6,3.2708145144250316e-168,20.274390243902438,35.0,90c61c38-b9fd-4cc3-9795-29160d2f8e55,CSH_ZAD_025,zadorlab
cf996fb1-1985-457d-90a8-4deab46daad8,TRN,8bf0f1a4-0d8c-4df3-a99e-f7c81c809652,8.242734721990111e-168,17.944015444015445,95.0,993c7024-0abc-4028-ad30-d397ad55b084,CSH_ZAD_029,zadorlab
