acronym,anatomical_group,n_pids,n_sessions,n_sessions_ge5,n_units,amplitude_hz,latency_ms,latency_gated_ms,trial_ci_low_ms,trial_ci_high_ms,trial_bootstrap_valid,p_value,passes_coverage,q_value,significant,latency_ci_low_ms,latency_ci_high_ms,bootstrap_valid
BST,Cerebral nuclei,15,15,14,207,2.240856909101614,130.0,,,,0,0.04195804195804196,True,0.09452086375163299,False,4.0,132.0,1000
AAA,Cerebral nuclei,3,3,2,25,6.629229854858867,134.0,134.0,,,0,0.000999000999000999,True,0.005688755688755689,True,20.0,136.0,1000
NDB,Cerebral nuclei,5,5,2,50,5.8321895418284235,134.0,146.0,,,0,0.000999000999000999,True,0.005688755688755689,True,4.0,134.0,1000
LSc,Cerebral nuclei,11,11,8,111,0.8641250400229021,138.0,,,,0,0.28471528471528473,True,0.40252850597678186,False,4.0,142.00000000000003,1000
TRS,Cerebral nuclei,7,7,6,73,1.231173263743158,140.0,,,,0,0.5494505494505495,True,0.654868387426527,False,22.0,140.0,1000
BMA,Cortical subplate,13,13,11,175,0.543356061255253,12.0,,,,0,0.8251748251748252,True,0.8764810319214466,False,10.0,34.0,1000
PA,Cortical subplate,12,12,7,113,0.732120041642889,16.0,,,,0,0.8551448551448552,True,0.9036324500242027,False,4.0,36.04999999999996,1000
EPv,Cortical subplate,12,12,8,124,0.6156321022844806,34.0,,,,0,0.6473526473526473,True,0.7251764628813809,False,4.0,106.0,1000
LA,Cortical subplate,8,8,6,63,1.34345681617735,66.0,,,,0,0.24675324675324675,True,0.36391665888068764,False,4.0,72.00000000000001,1000
BLA,Cortical subplate,13,13,10,150,0.9972801400047628,90.0,,,,0,0.5884115884115884,True,0.6773115153003421,False,4.0,122.0,1000
CLA,Cortical subplate,4,4,3,49,2.9949402157454976,114.0,,,,0,0.945054945054945,True,0.9735490640013253,False,84.0,138.0,1000
EPd,Cortical subplate,12,12,8,199,0.8238074833066422,122.0,,,,0,0.07992007992007992,True,0.14894196712378532,False,4.0,132.0,1000
x,Hindbrain,4,4,4,45,2.519077779632976,4.0,,,,0,0.5604395604395604,True,0.6576851719708862,False,4.0,138.0,1000
DTN,Hindbrain,2,2,1,21,2.9239143218744013,12.0,,,,0,0.5164835164835165,False,,False,12.0,128.0,1000
CU,Hindbrain,4,3,3,24,1.7966743394214468,14.0,,,,0,0.6473526473526473,True,0.7251764628813809,False,12.0,22.0,1000
PC5,Hindbrain,4,4,3,35,3.2127246793818824,14.0,,,,0,0.23176823176823177,True,0.3468064781933395,False,12.0,132.0,1000
GR,Hindbrain,1,1,1,9,3.6395569046712457,18.000000000000004,,,,0,0.5114885114885115,False,,False,,,0
ICB,Hindbrain,8,8,4,65,1.8390800716011588,24.0,,,,0,0.5324675324675324,True,0.6383382699172172,False,14.0,130.0,1000
Pa5,Hindbrain,1,1,0,4,4.617920310711796,24.0,,,,0,0.8221778221778222,False,,False,,,0
y,Hindbrain,1,1,1,6,6.950242585061227,32.0,,,,0,0.36363636363636365,False,,False,,,0
AP,Hindbrain,1,1,0,3,5.423620333616574,34.0,,,,0,0.6683316683316683,False,,False,,,0
PRP,Hindbrain,5,5,3,70,5.546755793858759,74.0,74.0,,,0,0.007992007992007992,True,0.028247614454511006,False,70.0,88.0,1000
DMX,Hindbrain,1,1,0,2,3.2542648116829653,82.0,,,,0,0.5084915084915085,False,,False,,,0
P5,Hindbrain,5,5,3,46,1.653154643956422,84.0,,,,0,0.8621378621378621,True,0.906350060196214,False,29.35000000000059,120.0,1000
LDT,Hindbrain,2,2,2,51,2.9837001808793233,92.0,92.0,,,0,0.015984015984015984,True,0.047488743140917056,False,90.0,120.0,1000
SUT,Hindbrain,12,12,7,103,5.225390154795832,92.0,92.0,,,0,0.025974025974025976,True,0.070995670995671,False,22.0,140.0,1000
I5,Hindbrain,4,4,2,42,3.464782129522643,94.0,,,,0,0.22077922077922077,True,0.3377592556697034,False,20.0,94.0,1000
IO,Hindbrain,1,1,0,2,9.381888537174357,94.0,94.0,,,0,0.33766233766233766,False,,False,,,0
LRN,Hindbrain,5,5,2,31,3.336127935671485,96.0,,,,0,0.6593406593406593,True,0.7345914954610606,False,14.0,132.0,1000
NI,Hindbrain,5,5,1,24,2.7527036999834746,96.0,,,,0,0.3196803196803197,False,,False,10.0,102.00000000000001,1000
PRNc,Hindbrain,11,11,9,280,11.181414784360042,100.0,146.0,96.0,104.10000000000004,300,0.012987012987012988,True,0.041599025974025976,False,84.0,120.0,1000
PCG,Hindbrain,7,7,6,82,3.5133230115602956,102.00000000000001,,,,0,0.1028971028971029,True,0.1866717353443017,False,22.0,104.00000000000001,1000
PG,Hindbrain,3,3,1,9,6.989422498580863,102.00000000000001,,,,0,0.8071928071928072,False,,False,44.0,118.00000000000001,1000
NLL,Hindbrain,8,8,6,184,1.8151672902766753,104.00000000000001,,,,0,0.015984015984015984,True,0.047488743140917056,False,20.0,108.0,1000
V,Hindbrain,9,9,8,166,11.057753750421458,104.00000000000001,136.0,,,0,0.001998001998001998,True,0.010502318194625887,False,102.00000000000001,138.0,1000
TRN,Hindbrain,10,10,9,193,10.764461353099348,106.0,106.0,,,0,0.000999000999000999,True,0.005688755688755689,True,62.0,128.0,1000
PRNr,Hindbrain,26,26,20,770,6.23551943957167,108.0,108.0,106.0,114.0,300,0.000999000999000999,True,0.005688755688755689,True,102.00000000000001,114.0,1000
SOC,Hindbrain,8,8,4,35,17.40012372596083,108.0,136.0,,,0,0.002997002997002997,True,0.01396330941785487,False,40.0,128.0,1000
CS,Hindbrain,10,10,10,391,2.884217694955064,110.0,110.0,,,0,0.005994005994005994,True,0.0219423433709148,False,76.0,122.0,1000
DCO,Hindbrain,13,13,12,312,3.447351058374524,110.0,,,,0,0.26073926073926074,True,0.37641935529259474,False,104.00000000000001,128.0,1000
GRN,Hindbrain,17,17,14,560,13.706352955515916,110.0,110.0,106.0,112.0,300,0.000999000999000999,True,0.005688755688755689,True,98.0,120.0,1000
ISN,Hindbrain,1,1,0,4,16.963210757134995,110.0,,,,0,0.07592407592407592,False,,False,,,0
PGRN,Hindbrain,12,12,7,120,8.735343432307719,112.0,,,,0,0.06293706293706294,True,0.125263086428135,False,96.0,124.0,1000
ECU,Hindbrain,4,4,3,21,3.835990820922068,114.0,,,,0,0.974025974025974,True,0.9828162034044386,False,34.0,132.0,1000
RO,Hindbrain,1,1,0,1,2.1302237383919995,114.0,,,,0,0.9100899100899101,False,,False,,,0
MARN,Hindbrain,4,4,3,83,5.388506058949041,118.00000000000001,,,,0,0.2787212787212787,True,0.39679070929070925,False,118.00000000000001,128.0999999999999,1000
VCO,Hindbrain,5,5,4,141,4.0114258992138545,118.00000000000001,118.00000000000001,,,0,0.004995004995004995,True,0.020077961254431845,False,62.0,120.0,1000
AMB,Hindbrain,2,2,1,8,5.149925696470638,120.0,,,,0,0.14585414585414586,False,,False,42.0,122.0,1000
IRN,Hindbrain,31,31,27,744,8.837107284941812,120.0,136.0,117.9,122.0,300,0.000999000999000999,True,0.005688755688755689,True,116.0,124.0,1000
SPVI,Hindbrain,15,15,13,321,2.706523695522406,120.0,,,,0,0.054945054945054944,True,0.11733058608058607,False,82.0,124.0,1000
SPVO,Hindbrain,8,8,8,129,5.188268738554086,122.0,,,,0,0.013986013986013986,True,0.04279302786765473,False,120.0,140.0,1000
SUV,Hindbrain,13,13,13,277,12.337419833122798,122.0,122.0,,,0,0.005994005994005994,True,0.0219423433709148,False,116.0,126.0,1000
VII,Hindbrain,6,6,6,63,11.939411569620736,122.0,136.0,,,0,0.000999000999000999,True,0.005688755688755689,True,116.0,136.0,1000
