acronym,n_tested_units,n_responsive_units,percent_responsive
VISrl,75,31.0,41.333333333333336
VM,118,55.0,46.610169491525426
VMH,2,0.0,0.0
VPL,436,185.0,42.43119266055046
VPLpc,80,38.0,47.5
VPM,1310,440.0,33.587786259541986
VPMpc,67,27.0,40.298507462686565
VTA,17,8.0,47.05882352941177
VTN,11,3.0,27.272727272727273
VeCB,70,34.0,48.57142857142857
XII,12,5.0,41.666666666666664
ZI,352,199.0,56.53409090909091
x,45,10.0,22.22222222222222
y,6,2.0,33.333333333333336
